#         t          x          y          z         vx         vy         vz
      0.000    -98.450   -120.030   -127.810    -27.700    174.120     92.490
     10.100   -100.838   -102.193   -118.088    -20.070    182.628    101.940
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
      0.000      0.000      0.000      0.000      0.000      0.000      0.000
